,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
0,10.0,0.0,0.011455789962535438,-0.003933215714178465,0.0585,0.016,0.024
1,10.0,2.0000000000000018,0.33965024156080686,-0.4196489203989849,0.292,0.074,0.137
2,20.0,0.0,-0.011711011474037207,-0.010813393038698393,0.0775,0.017,0.022
3,20.0,2.0000000000000018,0.3540408488900038,-0.39928615273189344,0.488,0.1665,0.223
4,30.0,0.0,-0.0038050511795550894,0.0032060260968863456,0.078,0.0165,0.021
5,30.0,2.0000000000000018,0.33384170808033026,-0.3813703726258983,0.6105,0.2155,0.2965
6,40.0,0.0,0.004589599320590964,0.008396728669775545,0.0745,0.0185,0.0215
7,40.0,2.0000000000000018,0.3424529238200669,-0.39110549532366073,0.7255,0.3075,0.394
8,50.0,0.0,-0.004926665678411209,0.00099699069895398,0.0725,0.0205,0.0285
9,50.0,2.0000000000000018,0.3377813128579375,-0.3829326996710225,0.786,0.3665,0.4635
10,75.0,0.0,-0.006827502082448958,-0.002424369876790796,0.075,0.0135,0.023
11,75.0,2.0000000000000018,0.3337894079976478,-0.38400435455146115,0.8975,0.53,0.654
12,150.0,0.0,0.00038516407546265865,-0.0022252601786904485,0.071,0.021,0.026
13,150.0,2.0000000000000018,0.33628318766349247,-0.38367856844644566,0.99,0.8375,0.9145
