,Acc_effect_size,Acsig,Drift_effect_size,Drsig,RT_effect_size,RTsig,sample_size
0,0.06673203198350092,0.02,0.0,0.04,-0.024990969914338423,0.02,10.0
1,-0.2929096195785533,0.09,2.0000000000000018,0.14,0.199816357031664,0.04,10.0
2,-0.40855300636824693,0.13,3.9999999999999987,0.24,0.3703175690433773,0.14,10.0
3,-0.5410272634891279,0.21,6.000000000000001,0.35,0.651451641212318,0.3,10.0
4,-0.5903723263139049,0.2,7.999999999999997,0.37,0.6037059098198541,0.24,10.0
5,-0.829389812312527,0.34,10.0,0.68,0.9561470808421465,0.5,10.0
6,-0.9272049983521217,0.52,12.000000000000002,0.75,1.1292716355345278,0.65,10.0
7,-1.0885514246179975,0.59,13.999999999999998,0.92,1.284443528679871,0.76,10.0
8,-1.16022538881628,0.67,16.0,0.89,1.446437018209253,0.86,10.0
9,0.04864784933661193,0.0,0.0,0.0,-0.0747319961490496,0.0,20.0
10,-0.19179225038053346,0.07,2.0000000000000018,0.14,0.2287850446723133,0.09,20.0
11,-0.3898830659214441,0.23,3.9999999999999987,0.39,0.3700423341782549,0.19,20.0
12,-0.5339837682178962,0.4,6.000000000000001,0.6,0.6065195821265902,0.42,20.0
13,-0.7044214165669778,0.54,7.999999999999997,0.78,0.7127103226887986,0.59,20.0
14,-0.8023338289256379,0.71,10.0,0.97,1.0125818895457381,0.86,20.0
15,-0.9750494739896773,0.86,12.000000000000002,0.97,1.1186407148664979,0.89,20.0
16,-1.0511323024732961,0.89,13.999999999999998,0.99,1.2631418524268,0.99,20.0
17,-1.1599685260712573,0.99,16.0,0.99,1.519727592314021,0.99,20.0
18,-0.012492969189201245,0.01,0.0,0.06,0.02536050173788764,0.0,30.0
19,-0.23046840008492578,0.17,2.0000000000000018,0.25,0.19145217430980072,0.03,30.0
20,-0.3643626449493936,0.31,3.9999999999999987,0.42,0.36229328737100197,0.24,30.0
21,-0.5794888059133781,0.59,6.000000000000001,0.83,0.5319900692933388,0.49,30.0
22,-0.73036764935928,0.82,7.999999999999997,0.97,0.7111523252544271,0.82,30.0
23,-0.8013270713303153,0.89,10.0,0.98,0.8812358322119919,0.91,30.0
24,-0.9510972328426525,0.98,12.000000000000002,0.99,1.089558081891068,1.0,30.0
25,-1.0378000014063564,0.96,13.999999999999998,1.0,1.2698569890135987,1.0,30.0
26,-1.1929461514119966,1.0,16.0,1.0,1.4816189427614972,1.0,30.0
27,0.005160840441321284,0.02,0.0,0.05,-0.0024776872214173863,0.0,40.0
28,-0.18202775067834437,0.14,2.0000000000000018,0.21,0.17152237672561657,0.08,40.0
29,-0.3513646208702342,0.36,3.9999999999999987,0.61,0.41439203323533563,0.46,40.0
30,-0.4997975814473306,0.61,6.000000000000001,0.88,0.5487668745433778,0.68,40.0
31,-0.6929833840835684,0.81,7.999999999999997,0.96,0.7427374453043695,0.9,40.0
32,-0.8693534750692951,0.99,10.0,0.99,0.8883953270756312,0.98,40.0
33,-0.9635907433503444,0.98,12.000000000000002,1.0,1.0683156548840258,1.0,40.0
34,-1.0703087703201304,1.0,13.999999999999998,1.0,1.2563718400795512,1.0,40.0
35,-1.1397138161384515,1.0,16.0,1.0,1.4517454836870411,1.0,40.0
36,-0.010163115051688675,0.03,0.0,0.04,0.014626961106575454,0.04,50.0
37,-0.2087180264231114,0.22,2.0000000000000018,0.37,0.17746705244871414,0.14,50.0
38,-0.3912462017495604,0.5,3.9999999999999987,0.68,0.3392995840741495,0.37,50.0
39,-0.579498029011143,0.8,6.000000000000001,0.93,0.5618190900261922,0.8,50.0
40,-0.6854100615316604,0.95,7.999999999999997,0.99,0.7272585720052305,0.99,50.0
41,-0.835177646019845,1.0,10.0,1.0,0.8955936152013275,1.0,50.0
42,-0.9808047115188898,1.0,12.000000000000002,1.0,1.09522294844235,1.0,50.0
43,-1.0709964554568285,1.0,13.999999999999998,1.0,1.2558217071117719,1.0,50.0
44,-1.1812807666965275,1.0,16.0,1.0,1.4108144029112537,1.0,50.0
45,-0.005789653750255241,0.01,0.0,0.07,0.02508228985440476,0.02,75.0
46,-0.2154812139232057,0.26,2.0000000000000018,0.46,0.1910138844434645,0.23,75.0
47,-0.39639706185423734,0.72,3.9999999999999987,0.93,0.3756945294753007,0.57,75.0
48,-0.5558419603687598,0.92,6.000000000000001,0.97,0.5425095593979576,0.92,75.0
49,-0.6881164447795893,0.99,7.999999999999997,1.0,0.7076722485162449,0.99,75.0
50,-0.8178293570022304,1.0,10.0,1.0,0.8829147775164777,1.0,75.0
51,-0.951614456375721,1.0,12.000000000000002,1.0,1.092917907173107,1.0,75.0
52,-1.0388555897513287,1.0,13.999999999999998,1.0,1.268179913355945,1.0,75.0
53,-1.1534792421220466,1.0,16.0,1.0,1.4396817381955735,1.0,75.0
54,-0.013809175811382962,0.03,0.0,0.07,-0.017557206035331268,0.02,100.0
55,-0.19947732211934405,0.28,2.0000000000000018,0.56,0.19201404052299267,0.32,100.0
56,-0.3870198849240259,0.82,3.9999999999999987,0.91,0.3697370074469408,0.71,100.0
57,-0.528454301093673,0.97,6.000000000000001,0.97,0.5153217356611733,0.98,100.0
58,-0.6853070559356663,1.0,7.999999999999997,1.0,0.7260398485302427,1.0,100.0
59,-0.8199093507376444,1.0,10.0,1.0,0.8921990566270483,1.0,100.0
60,-0.9407270029955203,1.0,12.000000000000002,1.0,1.0878468406847805,1.0,100.0
61,-1.042203788796331,1.0,13.999999999999998,1.0,1.2602924823602581,1.0,100.0
62,-1.1581937713953347,1.0,16.0,1.0,1.419842076368555,1.0,100.0
63,-0.00048470806267375874,0.04,0.0,0.05,-0.013425013767841842,0.03,150.0
64,-0.20232665263063696,0.45,2.0000000000000018,0.67,0.17534753796734723,0.28,150.0
65,-0.3766037532931331,0.89,3.9999999999999987,0.96,0.3561786439481604,0.89,150.0
66,-0.5485217465784603,0.98,6.000000000000001,1.0,0.5490087948940304,0.99,150.0
67,-0.6939594249380023,1.0,7.999999999999997,1.0,0.7346558765827307,1.0,150.0
68,-0.8498440248514063,1.0,10.0,1.0,0.9081486333485157,1.0,150.0
69,-0.9400761981763995,1.0,12.000000000000002,1.0,1.102010502090855,1.0,150.0
70,-1.0707721418700544,1.0,13.999999999999998,1.0,1.2571470454521034,1.0,150.0
71,-1.1613643994297638,1.0,16.0,1.0,1.4106242845043315,1.0,150.0
